goal_reached,collision,out_of_bounds,time_out,episode_steps,duration_s,final_distance_to_goal_m,path_length_m,trajectory_efficiency,command_variation_mps,command_variation_rate_mps2,min_clearance_m,mean_residual_mps
True,False,False,False,342,13.679999351501465,0.2530921399593353,20.520856857299805,0.8138062357902527,128.90638732910156,9.422982215881348,0.07551968097686768,0.0
True,False,False,False,342,13.679999351501465,0.2530921399593353,20.520856857299805,0.8138062357902527,128.90638732910156,9.422982215881348,0.07551968097686768,0.0
True,False,False,False,342,13.679999351501465,0.2530921399593353,20.520856857299805,0.8138062357902527,128.90638732910156,9.422982215881348,0.07551968097686768,0.0
True,False,False,False,342,13.679999351501465,0.2530921399593353,20.520856857299805,0.8138062357902527,128.90638732910156,9.422982215881348,0.07551968097686768,0.0
True,False,False,False,342,13.679999351501465,0.25219303369522095,20.523189544677734,0.8137137293815613,128.94972229003906,9.426149368286133,0.07529845833778381,0.0
True,False,False,False,342,13.679999351501465,0.25219303369522095,20.523189544677734,0.8137137293815613,128.94972229003906,9.426149368286133,0.07529845833778381,0.0
True,False,False,False,342,13.679999351501465,0.25219303369522095,20.523189544677734,0.8137137293815613,128.94972229003906,9.426149368286133,0.07529845833778381,0.0
True,False,False,False,342,13.679999351501465,0.25219303369522095,20.523189544677734,0.8137137293815613,128.94972229003906,9.426149368286133,0.07529845833778381,0.0
True,False,False,False,342,13.679999351501465,0.25219303369522095,20.523189544677734,0.8137137293815613,128.94972229003906,9.426149368286133,0.07529845833778381,0.0
True,False,False,False,342,13.679999351501465,0.25219303369522095,20.523189544677734,0.8137137293815613,128.94972229003906,9.426149368286133,0.07529845833778381,0.0
True,False,False,False,342,13.679999351501465,0.25219303369522095,20.523189544677734,0.8137137293815613,128.94972229003906,9.426149368286133,0.07529845833778381,0.0
True,False,False,False,342,13.679999351501465,0.25219303369522095,20.523189544677734,0.8137137293815613,128.94972229003906,9.426149368286133,0.07529845833778381,0.0
True,False,False,False,342,13.679999351501465,0.25219303369522095,20.523189544677734,0.8137137293815613,128.94972229003906,9.426149368286133,0.07529845833778381,0.0
True,False,False,False,342,13.679999351501465,0.25219303369522095,20.523189544677734,0.8137137293815613,128.94972229003906,9.426149368286133,0.07529845833778381,0.0
True,False,False,False,342,13.679999351501465,0.25219303369522095,20.523189544677734,0.8137137293815613,128.94972229003906,9.426149368286133,0.07529845833778381,0.0
True,False,False,False,342,13.679999351501465,0.25219303369522095,20.523189544677734,0.8137137293815613,128.94972229003906,9.426149368286133,0.07529845833778381,0.0
True,False,False,False,342,13.679999351501465,0.2530921399593353,20.520856857299805,0.8138062357902527,128.90638732910156,9.422982215881348,0.07551968097686768,0.0
True,False,False,False,342,13.679999351501465,0.2530921399593353,20.520856857299805,0.8138062357902527,128.90638732910156,9.422982215881348,0.07551968097686768,0.0
True,False,False,False,342,13.679999351501465,0.2530921399593353,20.520856857299805,0.8138062357902527,128.90638732910156,9.422982215881348,0.07551968097686768,0.0
True,False,False,False,342,13.679999351501465,0.2530921399593353,20.520856857299805,0.8138062357902527,128.90638732910156,9.422982215881348,0.07551968097686768,0.0
True,False,False,False,342,13.679999351501465,0.2530921399593353,20.520856857299805,0.8138062357902527,128.90638732910156,9.422982215881348,0.07551968097686768,0.0
True,False,False,False,342,13.679999351501465,0.2528527081012726,20.52079200744629,0.813808798789978,128.9064178466797,9.42298412322998,0.07546436786651611,0.0
True,False,False,False,342,13.679999351501465,0.2528527081012726,20.52079200744629,0.813808798789978,128.9064178466797,9.42298412322998,0.07546436786651611,0.0
True,False,False,False,342,13.679999351501465,0.25286003947257996,20.52083396911621,0.8138071298599243,128.9069061279297,9.423020362854004,0.07539522647857666,0.0
True,False,False,False,342,13.679999351501465,0.25286734104156494,20.52079200744629,0.813808798789978,128.90750122070312,9.423063278198242,0.07539522647857666,0.0
True,False,False,False,342,13.679999351501465,0.25279051065444946,20.521024703979492,0.8137995600700378,128.9084930419922,9.423135757446289,0.07543325424194336,0.0
True,False,False,False,342,13.679999351501465,0.25279051065444946,20.521024703979492,0.8137995600700378,128.9084930419922,9.423135757446289,0.07543325424194336,0.0
True,False,False,False,342,13.679999351501465,0.25286734104156494,20.52079200744629,0.813808798789978,128.90750122070312,9.423063278198242,0.07539522647857666,0.0
True,False,False,False,342,13.679999351501465,0.25286734104156494,20.52079200744629,0.813808798789978,128.90750122070312,9.423063278198242,0.07539522647857666,0.0
True,False,False,False,342,13.679999351501465,0.2528527081012726,20.52079200744629,0.813808798789978,128.9064178466797,9.42298412322998,0.07546436786651611,0.0
True,False,False,False,342,13.679999351501465,0.2528527081012726,20.52079200744629,0.813808798789978,128.9064178466797,9.42298412322998,0.07546436786651611,0.0
True,False,False,False,342,13.679999351501465,0.2530921399593353,20.520856857299805,0.8138062357902527,128.90638732910156,9.422982215881348,0.07551968097686768,0.0
True,False,False,False,342,13.679999351501465,0.2530921399593353,20.520856857299805,0.8138062357902527,128.90638732910156,9.422982215881348,0.07551968097686768,0.0
True,False,False,False,342,13.679999351501465,0.2530921399593353,20.520856857299805,0.8138062357902527,128.90638732910156,9.422982215881348,0.07551968097686768,0.0
True,False,False,False,342,13.679999351501465,0.2530921399593353,20.520856857299805,0.8138062357902527,128.90638732910156,9.422982215881348,0.07551968097686768,0.0
True,False,False,False,342,13.679999351501465,0.2530921399593353,20.520856857299805,0.8138062357902527,128.90638732910156,9.422982215881348,0.07551968097686768,0.0
True,False,False,False,342,13.679999351501465,0.25219303369522095,20.523189544677734,0.8137137293815613,128.94972229003906,9.426149368286133,0.07529845833778381,0.0
True,False,False,False,342,13.679999351501465,0.25219303369522095,20.523189544677734,0.8137137293815613,128.94972229003906,9.426149368286133,0.07529845833778381,0.0
True,False,False,False,342,13.679999351501465,0.25219303369522095,20.523189544677734,0.8137137293815613,128.94972229003906,9.426149368286133,0.07529845833778381,0.0
True,False,False,False,342,13.679999351501465,0.25219303369522095,20.523189544677734,0.8137137293815613,128.94972229003906,9.426149368286133,0.07529845833778381,0.0
True,False,False,False,342,13.679999351501465,0.25219303369522095,20.523189544677734,0.8137137293815613,128.94972229003906,9.426149368286133,0.07529845833778381,0.0
True,False,False,False,342,13.679999351501465,0.25219303369522095,20.523189544677734,0.8137137293815613,128.94972229003906,9.426149368286133,0.07529845833778381,0.0
True,False,False,False,342,13.679999351501465,0.25219303369522095,20.523189544677734,0.8137137293815613,128.94972229003906,9.426149368286133,0.07529845833778381,0.0
True,False,False,False,342,13.679999351501465,0.25219303369522095,20.523189544677734,0.8137137293815613,128.94972229003906,9.426149368286133,0.07529845833778381,0.0
True,False,False,False,342,13.679999351501465,0.25219303369522095,20.523189544677734,0.8137137293815613,128.94972229003906,9.426149368286133,0.07529845833778381,0.0
True,False,False,False,342,13.679999351501465,0.25219303369522095,20.523189544677734,0.8137137293815613,128.94972229003906,9.426149368286133,0.07529845833778381,0.0
True,False,False,False,342,13.679999351501465,0.25219303369522095,20.523189544677734,0.8137137293815613,128.94972229003906,9.426149368286133,0.07529845833778381,0.0
True,False,False,False,342,13.679999351501465,0.25219303369522095,20.523189544677734,0.8137137293815613,128.94972229003906,9.426149368286133,0.07529845833778381,0.0
True,False,False,False,342,13.679999351501465,0.2530921399593353,20.520856857299805,0.8138062357902527,128.90638732910156,9.422982215881348,0.07551968097686768,0.0
True,False,False,False,342,13.679999351501465,0.2530921399593353,20.520856857299805,0.8138062357902527,128.90638732910156,9.422982215881348,0.07551968097686768,0.0
True,False,False,False,342,13.679999351501465,0.2530921399593353,20.520856857299805,0.8138062357902527,128.90638732910156,9.422982215881348,0.07551968097686768,0.0
True,False,False,False,342,13.679999351501465,0.2530921399593353,20.520856857299805,0.8138062357902527,128.90638732910156,9.422982215881348,0.07551968097686768,0.0
True,False,False,False,342,13.679999351501465,0.2530921399593353,20.520856857299805,0.8138062357902527,128.90638732910156,9.422982215881348,0.07551968097686768,0.0
True,False,False,False,342,13.679999351501465,0.2528527081012726,20.52079200744629,0.813808798789978,128.9064178466797,9.42298412322998,0.07546436786651611,0.0
True,False,False,False,342,13.679999351501465,0.2528527081012726,20.52079200744629,0.813808798789978,128.9064178466797,9.42298412322998,0.07546436786651611,0.0
True,False,False,False,342,13.679999351501465,0.25286003947257996,20.52083396911621,0.8138071298599243,128.9069061279297,9.423020362854004,0.07539522647857666,0.0
True,False,False,False,342,13.679999351501465,0.25286734104156494,20.52079200744629,0.813808798789978,128.90750122070312,9.423063278198242,0.07539522647857666,0.0
True,False,False,False,342,13.679999351501465,0.25279051065444946,20.521024703979492,0.8137995600700378,128.9084930419922,9.423135757446289,0.07543325424194336,0.0
True,False,False,False,342,13.679999351501465,0.25279051065444946,20.521024703979492,0.8137995600700378,128.9084930419922,9.423135757446289,0.07543325424194336,0.0
True,False,False,False,342,13.679999351501465,0.25286734104156494,20.52079200744629,0.813808798789978,128.90750122070312,9.423063278198242,0.07539522647857666,0.0
True,False,False,False,342,13.679999351501465,0.25286734104156494,20.52079200744629,0.813808798789978,128.90750122070312,9.423063278198242,0.07539522647857666,0.0
True,False,False,False,342,13.679999351501465,0.2528527081012726,20.52079200744629,0.813808798789978,128.9064178466797,9.42298412322998,0.07546436786651611,0.0
True,False,False,False,342,13.679999351501465,0.2528527081012726,20.52079200744629,0.813808798789978,128.9064178466797,9.42298412322998,0.07546436786651611,0.0
True,False,False,False,342,13.679999351501465,0.2530921399593353,20.520856857299805,0.8138062357902527,128.90638732910156,9.422982215881348,0.07551968097686768,0.0
True,False,False,False,342,13.679999351501465,0.2530921399593353,20.520856857299805,0.8138062357902527,128.90638732910156,9.422982215881348,0.07551968097686768,0.0
True,False,False,False,342,13.679999351501465,0.2530921399593353,20.520856857299805,0.8138062357902527,128.90638732910156,9.422982215881348,0.07551968097686768,0.0
True,False,False,False,342,13.679999351501465,0.2530921399593353,20.520856857299805,0.8138062357902527,128.90638732910156,9.422982215881348,0.07551968097686768,0.0
True,False,False,False,342,13.679999351501465,0.2530921399593353,20.520856857299805,0.8138062357902527,128.90638732910156,9.422982215881348,0.07551968097686768,0.0
True,False,False,False,342,13.679999351501465,0.25219303369522095,20.523189544677734,0.8137137293815613,128.94972229003906,9.426149368286133,0.07529845833778381,0.0
True,False,False,False,342,13.679999351501465,0.25219303369522095,20.523189544677734,0.8137137293815613,128.94972229003906,9.426149368286133,0.07529845833778381,0.0
True,False,False,False,342,13.679999351501465,0.25219303369522095,20.523189544677734,0.8137137293815613,128.94972229003906,9.426149368286133,0.07529845833778381,0.0
True,False,False,False,342,13.679999351501465,0.25219303369522095,20.523189544677734,0.8137137293815613,128.94972229003906,9.426149368286133,0.07529845833778381,0.0
True,False,False,False,342,13.679999351501465,0.25219303369522095,20.523189544677734,0.8137137293815613,128.94972229003906,9.426149368286133,0.07529845833778381,0.0
True,False,False,False,342,13.679999351501465,0.25219303369522095,20.523189544677734,0.8137137293815613,128.94972229003906,9.426149368286133,0.07529845833778381,0.0
